profile_id,rows,minutes,speed_max,pm_min,pm_max,pm_swing,max_const_torque_s
2,19357,161.30833333333334,100.552001953125,22.97041702270508,45.98556137084961,23.015144348144528,1.0
3,19248,160.4,100.28964233398438,22.751144409179688,29.01161193847656,6.2604675292968714,1.0
4,33424,278.53333333333336,6000.01513671875,22.924949645996097,99.3966293334961,76.4716796875,0.5
5,14788,123.23333333333333,1000.4359130859376,25.889381408691406,39.93896484375,14.049583435058594,1.0
6,40388,336.56666666666666,4999.96240234375,24.34982109069824,93.5129623413086,69.16314125061035,1.0
7,14651,122.09166666666667,500.0233154296875,25.058292388916016,35.8453483581543,10.787055969238281,1.5
8,18757,156.30833333333334,1500.001953125,24.012279510498047,44.285308837890625,20.273029327392578,0.5
9,20336,169.46666666666667,2499.98974609375,24.80129623413086,51.110816955566406,26.309520721435547,0.5
10,15256,127.13333333333334,5997.06396484375,22.92877769470215,72.08063507080078,49.15185737609863,1.0
11,7887,65.725,5938.34765625,24.221370697021484,57.10593032836914,32.884559631347656,0.5
12,21942,182.85,1999.99462890625,24.082582473754883,47.838409423828125,23.755826950073242,0.5
13,35906,299.21666666666664,250.04318237304688,21.032411575317383,31.87829971313477,10.845888137817386,1.0
14,18598,154.98333333333332,2999.988525390625,23.168277740478516,59.170379638671875,36.00210189819336,1.0
15,18124,151.03333333333333,3999.968994140625,21.8292236328125,94.61751556396484,72.78829193115234,1.0
16,20645,172.04166666666666,750.0158081054688,23.827301025390625,46.98088836669922,23.153587341308594,1.0
17,15964,133.03333333333333,4999.97119140625,24.26473617553711,69.58853149414062,45.323795318603516,0.5
18,37732,314.43333333333334,100.0724105834961,23.177406311035156,38.56292343139648,15.385517120361321,1.0
19,10410,86.75,5999.966796875,24.474061965942383,96.78407287597656,72.31001091003418,1.0
20,43971,366.425,5749.97314453125,23.534149169921875,105.94872283935548,82.41457366943361,1.0
21,17321,144.34166666666667,4499.97412109375,20.856956481933594,91.50621032714844,70.64925384521484,1.0
23,11856,98.8,3499.978759765625,22.643051147460938,96.7501220703125,74.10707092285156,0.5
24,15015,125.125,5499.970703125,21.932239532470703,113.60662841796876,91.67438888549806,0.5
26,16666,138.88333333333333,3499.994140625,23.891916275024418,95.45230102539062,71.56038475036621,1.5
27,35361,294.675,5849.95068359375,21.92321395874023,109.33384704589844,87.4106330871582,1.0
29,21358,177.98333333333332,5969.96142578125,22.506166458129883,98.10128021240234,75.59511375427246,1.0
30,23863,198.85833333333332,1959.9969482421875,22.888792037963867,53.278934478759766,30.3901424407959,1.0
31,15587,129.89166666666668,5999.96435546875,24.033004760742188,102.09822845458984,78.06522369384766,1.0
32,20960,174.66666666666666,3999.978759765625,21.213623046875,88.3455810546875,67.1319580078125,1.0
36,22609,188.40833333333333,1799.9931640625,21.360401153564453,47.37163543701172,26.011234283447266,1.0
41,16700,139.16666666666666,4999.971463787311,26.44238405927623,94.29486191793532,67.85247785865909,1584.0
42,16920,141.0,4000.118302061901,26.88723753009588,72.7651136543214,45.877876124225516,1733.5
43,8443,70.35833333333333,4999.952244880068,28.122246006596622,69.14049020060897,41.01824419401234,627.0
44,26341,219.50833333333333,5499.968204199491,32.977203350170065,84.73188742211002,51.754684071939955,2736.5
45,17142,142.85,4999.968008457303,26.29488071629573,89.65303692919542,63.358156212899694,2744.5
46,2180,18.166666666666668,5902.034164646629,78.08220902264821,92.91460536629928,14.83239634365107,0.5
47,2176,18.133333333333333,5902.52389424351,72.247170339637,79.31810559877164,7.070935259134643,0.5
48,21983,183.19166666666666,5976.122647344363,55.72634528876606,89.17093967345724,33.44459438469118,156.5
49,10816,90.13333333333334,5968.584805564656,39.74662022125604,81.91990363337037,42.17328341211433,0.5
50,10810,90.08333333333333,5968.470770139915,34.661410313884495,75.85317355311611,41.19176323923161,0.5
51,6261,52.175,5884.491045897335,31.71891222992771,84.59714894379134,52.87823671386363,0.5
52,3726,31.05,5878.078607740089,49.45625359695721,78.21761696957871,28.761363372621503,0.5
53,32442,270.35,5941.269342169981,50.04227507427966,87.94126464537183,37.89898957109217,0.5
54,10807,90.05833333333334,5929.4299245594,29.601274466337728,77.04464742515248,47.44337295881475,0.5
55,10807,90.05833333333334,5929.420766034631,27.482064019363396,80.19198944080384,52.709925421440445,0.5
